Yr_15_GPS_ID_fix1_BttID,Bh_ID,DATE_TIME,GPS
2343255,,"CRTD 14:51 26-SEP-05","S26 16.244 E27 48.209"
2412047,,"CRTD 13:09 22-OCT-05","S26 11.809 E27 48.127"
2414359,,"CRTD 07:47 10-DEC-05","S26 19.421 E28 10.665"
2459130,,"CRTD 10:54 22-OCT-05","S26 15.570 E27 54.320"
2460154,,"CRTD 16:17 31-AUG-05","S26 14.527 E27 50.105"
2495002,,"CRTD 10:24 01-OCT-05","S26 14.894 E27 52.801"
2506530,,"CRTD 13:56 10-NOV-05","S26 14.166 E27 49.204"
2513962,,"CRTD 11:47 17-SEP-05","S26 14.510 E27 48.973"
2526514,,"CRTD 12:04 19-OCT-05","S26 13.795 E27 52.803"
2593581,,"CRTD 08:32 25-SEP-05","S26 13.686 E27 52.561"
2610192,,"CRTD 15:16 28-SEP-05","S26 16.369 E27 48.047"
2619408,,"CRTD 13:13 19-OCT-05","S26 15.257 E27 50.860"
2620733,,"CRTD 16:11 06-SEP-05","S26 15.776 E27 56.379"
2666456,,"CRTD 06:49 20-NOV-05","S26 18.648 E28 14.796"
2819939,,"CRTD 15:24 23-OCT-05","S26 15.656 E27 49.365"
2820963,,"CRTD 15:50 20-SEP-05","S26 16.531 E27 49.989"
2839923,,"CRTD 11:10 20-NOV-05","S26 21.825 E28 14.001"
2845307,,"CRTD 11:38 26-SEP-05","S26 14.828 E27 52.433"
2866315,,"CRTD 14:50 18-OCT-05","S26 15.916 E27 52.462"
2887006,,"CRTD 06:36 17-SEP-05","S26 15.842 E27 50.251"
2889054,,"CRTD 13:52 22-OCT-05","S26 09.909 E27 47.709"
2906990,,"CRTD 12:06 15-SEP-05","S26 12.944 E27 54.027"
2936454,,"CRTD 07:09 18-SEP-05","S26 16.420 E27 53.947"
2937478,,"CRTD 15:31 25-OCT-05","S26 09.909 E27 47.703"
2975398,,"CRTD 16:11 29-AUG-05","S26 13.686 E27 54.085"
2995065,,"CRTD 12:32 19-NOV-05","S26 13.649 E27 50.465"
3003521,,"CRTD 15:22 10-OCT-05","S26 15.498 E27 56.656"
3005569,,"CRTD 07:48 04-DEC-05","S26 30.985 E27 53.338"
3011977,,"CRTD 12:44 18-NOV-05","S26 11.289 E28 04.426"
6185357,161,"28-SEP-05 3:44:23AM","S26 10.376 E27 57.949"
7480153,209,"22-NOV-05 8:54:07AM","S26 10.219 E27 54.349"
