Bt20_ID,BH_ID,Date,Way_Point
1006147,,"CRTD 13:16 03-NOV-06","S26 14.761 E27 53.500"
1025547,,"CRTD 13:50 05-OCT-06","S26 14.667 E27 50.736"
3054225,104,"CRTD 06:16 26-NOV-06","S26 07.439 E28 01.109"
1043043,,"CRTD 08:07 05-DEC-06","S26 16.511 E27 51.636"
1052171,,"CRTD 13:12 14-SEP-06","S26 15.072 E27 49.407"
3092637,107,"CRTD 08:50 26-NOV-06","S26 07.807 E28 01.078"
3299895,108,"CRTD 09:36 26-NOV-06","S26 09.145 E28 01.510"
1081135,,"CRTD 08:37 28-SEP-06","S26 14.435 E27 55.853"
1086523,,"CRTD 12:37 23-SEP-06","S26 15.236 E27 50.051"
1105150,,"CRTD 12:14 09-NOV-06","S26 14.802 E27 49.865"
3501168,111,"CRTD 07:34 25-SEP-06","S26 15.152 E28 01.811"
1114150,,"CRTD 13:27 26-OCT-06","S26 14.435 E27 49.984"
3728438,113,"CRTD 08:12 12-NOV-06","S26 14.273 E28 04.253"
1201310,,"CRTD 10:54 25-OCT-06","S26 11.528 E27 50.931"
122933,,"CRTD 13:51 10-NOV-06","S26 12.984 E27 49.304"
1229433,,"CRTD 14:16 10-NOV-06","S26 13.430 E27 49.171"
5976570,123,"CRTD 07:27 07-DEC-06","S26 17.761 E27 55.626"
1333396,,"CRTD 13:30 15-NOV-06","S26 16.115 E27 53.670"
1371276,,"CRTD 12:21 21-OCT-06","S26 11.963 E27 52.115"
6075306,139,"CRTD 09:44 10-DEC-06","S26 08.593 E28 02.236"
6085330,142,"CRTD 08:59 16-NOV-06","S26 09.449 E28 04.027"
1486543,,"CRTD 08:23 10-DEC-06","S26 08.593 E28 02.236"
6144709,149,"CRTD 06:09 25-SEP-06","S26 14.187 E28 04.885"
1500119,,"CRTD 12:38 28-NOV-06","S26 13.707 E27 49.402"
6153237,152,"CRTD 10:17 09-DEC-06","S26 08.586 E28 02.242"
152117,,"CRTD 11:12 07-NOV-06","S26 15.385 E27 48.863"
1527535,,"CRTD 11:39 11-NOV-06","S26 12.958 E27 50.384"
6155213,153,"CRTD 09:50 25-SEP-06","S26 08.425 E28 01.908"
6156309,154,"CRTD 08:28 10-DEC-06","S26 08.593 E28 02.236"
1561306,,"CRTD 12:21 16-NOV-06","S26 13.130 E27 46.809"
